height,wall_seconds,blocks_per_sec,coins_in_db,db_size_bytes,rss_mb,avg_ops_per_block,ops_per_sec
6560000,37663.28137755394,27.24596544866877,378515933,67661441886,783.69140625,84.0,2289.8
6570000,37892.87580919266,15.570935124530825,378639433,67661441886,783.69140625,73.7,1147.3
6590000,38171.715012311935,25.94326737085653,378913066,68095498680,783.69140625,86.5,2243.0
6600000,38423.79697275162,14.411979316819465,379049274,67804198218,783.69140625,103.5,1491.8
6630000,38781.48601603508,30.280491402742285,379551498,67982887083,783.69140625,127.6,3863.8
6670000,39068.785714149475,50.560442963696154,380310758,68383411343,783.69140625,58.5,2958.1
6690000,39297.97709751129,31.750757350733622,380525814,68171314208,783.69140625,59.1,1877.0
6720000,39518.49415874481,49.28870328309916,380869988,68229908548,783.69140625,57.3,2823.2
6740000,39754.3196618557,30.89572545753929,381101238,68279249548,783.69140625,46.4,1432.3
6770000,39977.12375450134,48.51347150606872,381474011,68329124511,783.69140625,62.1,3010.7
6780000,40185.68159413338,17.347705587971955,381624575,68378351288,783.69140625,71.2,1235.3
6850000,40437.10357785225,100.67536507985974,382479212,68538919998,785.32421875,55.1,5551.2
6860000,40647.91748571396,17.27115652345117,382586489,68538919998,785.32421875,49.8,860.9
6890000,40873.38283538818,48.313410533988076,382949169,68620761872,785.32421875,51.0,2466.4
6910000,41092.293890953064,32.92204672533775,383427580,68727608004,785.32421875,114.5,3769.0
6920000,41301.32436609268,17.298912981873872,383606522,68727608004,785.32421875,66.4,1148.1
6930000,41510.78999209404,17.196138902411832,383882628,68735328198,785.32421875,93.0,1599.6
6950000,41750.53764343262,30.302695185698383,384128772,68789824018,785.32421875,61.4,1860.1
6990000,41980.70480251312,62.48067733663937,384958218,68920609114,785.890625,57.1,3569.7
7010000,42207.1853222847,32.082229444405876,385305659,69024888668,785.890625,52.6,1687.8
7100000,42508.16162610054,108.55339634973726,386613267,69238158468,793.94140625,52.2,5665.5
7130000,42760.576447963715,43.08780252966093,387100084,69363086746,793.94140625,57.9,2495.2
7160000,42991.47584152222,46.94685348861042,387781051,69433292971,793.94140625,59.4,2790.1
7170000,43238.588307619095,14.454956710276331,387909790,69482884867,793.94140625,64.0,925.4
7220000,43489.39327573776,72.27528280629299,388973466,69661150072,805.0625,150.0,10839.0
7240000,43714.30123877525,32.47550643096824,389785632,69803424003,805.0625,189.2,6144.2
7250000,43975.432035684586,14.008305582087667,390306127,69861448645,807.2578125,169.0,2367.4
7260000,44193.60298585892,16.555824673788127,390436392,69915461999,807.2578125,58.3,964.7
7290000,44433.659702301025,45.293462983036854,390846652,69991692337,807.2578125,70.6,3199.4
7340000,44707.47339606285,65.89882248802142,392069499,70135430930,811.08203125,114.7,7557.8
7350000,44951.9841170311,14.735550186643579,392236421,70191766167,811.08203125,80.6,1188.2
7360000,45170.60561013222,16.480538801980863,392409855,70238155022,811.08203125,84.2,1387.1
7370000,45387.617362737656,16.667300072804256,392648934,70287359428,811.08203125,95.3,1588.4
7390000,45611.85826086998,32.353598564873906,393062421,70383641466,811.08203125,99.9,3230.8
7400000,45834.90165615082,16.176224341712075,393469366,70441924011,811.08203125,135.7,2195.7
7420000,46058.02969765663,32.61804276541535,393738096,70490621315,811.08203125,56.3,1837.6
7440000,46281.86498069763,32.30053770689791,393991263,70497021454,811.08203125,57.5,1857.5
7450000,46518.96295619011,15.221555529960675,394105099,70546482374,811.08203125,51.8,788.7
7580000,46851.48257803917,141.7059232113198,396352591,70985106764,811.08203125,63.8,9041.4
7590000,47069.784719944,16.57794086865949,396570044,70998690645,811.08203125,89.0,1475.3
7630000,47334.328172922134,54.822751562098745,397241617,71149588718,811.08203125,78.6,4306.8
7640000,47550.68789935112,16.879296624543816,397349518,71149588718,811.08203125,49.2,830.3
7650000,47766.660861968994,16.43724268523878,397461510,71166193863,811.42578125,53.9,885.7
7740000,48066.77403330803,108.39244360671916,398579024,71414863439,818.9296875,60.2,6526.6
7850000,48360.508618593216,136.52461102278775,399792517,71618986569,821.859375,63.6,8689.0
7860000,48580.91178846359,16.37453763538212,399901265,71635492725,821.859375,55.0,900.2
7900000,48839.752397060394,55.578605219589775,400341174,71731298812,821.859375,49.5,2750.9
7910000,49063.480810165405,16.086468187260348,400435445,71780136505,821.859375,47.4,763.2
7940000,49293.13165616989,47.01049522712887,400807318,71783240365,821.859375,55.7,2617.7
7960000,49526.870855093,31.16721557001835,401003327,71830472461,821.859375,42.8,1335.3
7990000,49758.79474067688,46.81708385776892,401294033,71926741196,821.859375,49.1,2298.3
8000000,49978.126698732376,16.70983121881704,401388621,71926741196,821.859375,45.1,753.3
8030000,50215.68933105469,45.697422586525306,401688786,71921869669,830.9609375,54.7,2497.8
8130000,50508.62127447128,124.05270513062554,402665767,72137115989,832.1640625,46.6,5775.5
8180000,50744.34257483482,77.08255457600717,403139686,72232425840,832.1640625,48.5,3739.8
8220000,50999.58096909523,57.02903766566275,403552991,72301549192,842.734375,55.9,3185.6
8250000,51234.088827610016,46.35239121129344,403846821,72394959025,842.734375,50.2,2328.2
8270000,51460.50508069992,31.905836711870293,404076372,72410554065,842.734375,55.5,1772.0
8310000,51710.64418673515,58.16763412415253,404536378,72507266375,842.734375,49.3,2870.2
8430000,51995.49121570587,152.32386364282667,406157322,72772584624,870.14453125,154.8,23583.2
8470000,52262.47770380974,54.17128073677427,406767922,72873264469,870.14453125,48.2,2611.5
8500000,52587.5414955616,33.451895523019985,407445033,73000823148,870.14453125,96.0,3212.1
8560000,53045.25076198578,47.24177897670314,408314720,73420903670,893.51171875,223.4,10555.1
